883	1645	55	1159	1190	1140
235	173	1897	1648	559	547
1065	749	242	964	1953	605
1389	12	560	1813	1046	940
52	1945	1430	1158	136	644
1121	533	265	1647	1686	1011
1098	230	200	772	1942	751
1220	1825	1744	882	233	535
1238	601	1416	671	1173	29
138	1732	1469	759	1964	1337
972	1094	1376	1784	455	1644
1645	686	1367	994	786	1572
318	114	610	643	1163	1909
1460	1866	339	1866	701	1523
961	858	1805	1322	1268	1733
10	62	1445	1080	1744	947
1438	885	601	170	1793	553
501	363	1884	587	1188	1835
117	410	1004	445	1871	833
1402	985	1704	673	1929	1844
1273	1794	575	1764	1131	613
300	1302	94	531	1488	1955
699	1178	1978	1285	1988	1846
1984	1135	943	1469	491	530
1129	222	234	287	771	210
1418	512	1314	1163	366	334
232	250	646	1084	172	870
884	34	1509	479	1683	1017
1147	1778	1384	1794	851	36
94	285	94	94	94	285
1050	900	1425	587	1756	1462
1796	80	932	416	165	166
1638	1305	564	438	1240	738
1905	737	1816	1052	411	267
243	477	523	1257	1646	673
1285	1124	1206	873	87	1455
1865	1148	333	58	312	1092
1961	898	1449	38	1671	180
1505	1935	1145	1798	1176	1086
914	1139	767	1480	665	939
1863	1178	18	614	330	1561
1051	257	866	681	841	1409
1145	611	1243	202	758	1729
1614	1819	1904	1283	1261	1463
1020	1302	1386	259	551	1821
80	1862	1148	1821	578	1754
1334	1434	153	150	1511	155
1613	1214	1551	1416	639	1001
1144	579	533	352	52	1688
301	1419	1862	775	1257	1647
787	115	409	68	247	1010
1421	138	534	1065	171	210
1770	1200	688	113	379	435
1575	381	973	966	976	830
1148	1366	1324	1468	364	406
1353	1298	1271	1050	1367	666
163	471	1785	1432	1585	1279
16	96	322	1894	1465	1121
782	164	1695	729	847	1678
724	1096	832	1527	376	396
1691	530	1871	911	243	1888
708	568	1334	1228	525	1772
1337	1290	1750	629	1023	519
1103	1187	944	1014	778	828
1188	171	509	1014	1942	140
1718	152	1143	950	358	675
971	1591	1795	1395	964	1665
1833	575	641	905	1235	1311
1462	633	1416	476	1473	1643
152	966	1810	140	805	1221
816	233	1572	47	811	1060
1295	129	628	1225	1133	1244
1595	750	832	1059	1855	720
174	440	365	508	1552	1834
1468	921	130	1823	1274	733
1186	716	1994	1496	1160	585
96	888	619	1229	1852	1063
668	698	1344	1220	200	1488
878	1600	922	1567	194	1287
1708	772	1285	1250	1043	1535
384	1755	831	402	913	1286
1294	575	716	412	767	808
1436	1268	993	1064	1928	378
222	1003	1697	1918	533	565
1765	1311	1055	1834	1790	817
29	1137	540	1169	1559	1023
1061	851	1025	1790	226	296
1772	1037	1605	694	793	1643
1905	1346	1322	1641	1081	637
1649	460	1161	1436	581	497
1221	1917	1600	886	1317	1634
63	659	541	966	221	1607
789	1706	1288	1694	493	421
1176	102	1729	1365	1196	119
564	860	1629	1469	258	256
265	481	851	1107	1455	1666
234	1511	1078	1618	623	1124
66	1638	293	900	1597	1412
894	1971	1629	32	764	1665
1750	1260	509	1165	1510	1271
1998	566	1885	1723	1368	449
477	1624	569	1032	1558	1577
1196	1604	596	1420	1801	1968
1973	1112	1942	1522	1330	435
1728	1975	139	1268	917	825
1992	1808	1202	1800	1080	506
872	241	1564	1170	1236	1744
864	230	1915	723	789	487
1337	43	1903	837	463	481
1705	1903	1406	261	1730	209
1798	529	304	431	619	1918
1909	377	884	1717	263	794
437	545	61	62	130	341
1559	95	1801	529	159	830
1315	40	1597	61	509	1880
127	1001	149	1788	1770	1622
1481	908	271	798	1294	1882
1152	531	644	832	262	161
187	1235	1442	1789	1309	1549
997	606	534	86	230	729
689	179	1240	811	1405	102
1408	1416	889	361	993	1700
717	310	150	1192	285	847
747	1574	1554	765	366	471
933	1018	433	1941	725	1946
1839	1237	1754	1213	567	1901
1523	1515	1884	1781	200	959
1131	180	137	199	981	600
276	1104	1061	1364	726	1626
627	1345	1379	1755	1016	1788
1373	1860	1587	1079	403	1293
181	67	98	1985	1289	54
645	444	234	1444	1915	241
590	1996	1468	1521	304	107
70	204	956	912	1350	539
1199	389	1715	1851	1935	826
444	295	747	143	728	1096
1175	1515	918	588	923	1500
1965	1198	1311	1119	536	968
1839	1990	894	1176	903	257
1930	1309	866	1864	1916	516
1970	1561	788	839	290	1727
1186	1195	185	1170	561	727
1848	766	639	1892	946	764
1551	504	1309	841	1689	572
1563	1253	1134	845	61	1968
1424	789	1844	1917	507	706
1621	1783	159	886	1028	863
1327	1393	260	1708	339	341
1503	904	1756	397	97	951
1299	901	1829	1817	1744	305
1966	1753	1553	1073	193	1351
1002	1983	1156	769	512	421
1707	434	1622	1856	828	1756
259	484	718	103	858	352
519	856	911	1364	1486	289
1726	1882	1366	926	1399	405
1463	904	1329	232	470	854
1663	244	446	548	342	1273
1600	302	528	1355	152	834
802	1406	1849	1508	401	1674
1135	345	609	1747	1903	1626
1803	225	1833	444	1470	1699
1365	898	961	442	655	722
101	340	15	448	993	460
1454	169	1974	382	1811	1354
52	1683	836	706	1883	766
1435	83	522	1022	407	1588
343	1969	256	1966	1511	539
1144	1141	556	1297	1940	776
1932	1264	1012	1431	970	803
219	401	881	732	12	1760
1147	1341	1181	228	1279	287
1855	534	1369	564	1737	1307
1776	1870	798	541	562	1153
1885	263	1616	1184	1542	1809
89	1006	1257	370	1392	1311
452	1033	1196	1279	1958	1231
552	1139	1692	708	60	952
1283	1412	1506	301	452	1091
850	1387	1118	323	1347	776
682	605	708	290	1455	604
743	469	41	1728	1065	187
736	703	1587	499	478	1901
1219	1669	1552	350	378	68
1706	33	773	1234	341	662
1127	640	812	112	1514	733
1807	790	1883	265	1941	1985
786	1239	224	1707	366	1561
838	1968	286	84	657	562
1038	939	1277	720	1879	343
724	1544	31	951	1886	558
1259	416	1573	147	1899	692
1376	901	1742	971	909	1897
1783	494	984	715	235	715
1341	1767	404	1825	1271	1234
144	1100	793	296	1237	1338
845	279	1585	1759	1393	1519
1506	995	1835	1287	1542	103
1249	839	137	1321	1249	1856
97	1301	492	1326	1687	252
1192	1710	1182	548	1424	1095
567	190	486	1173	1193	296
799	1162	1723	325	1202	571
1308	1546	935	1228	1297	1242
1829	294	651	1073	525	1849
1421	187	1565	1911	968	651
1373	1670	1054	1737	1204	1192
95	708	1204	510	252	1682
713	1634	884	381	1795	1602
438	692	1197	479	742	332
1418	114	1988	167	1226	919
1624	626	1759	1364	1681	1404
1728	645	1163	72	699	880
1969	1346	79	1671	1191	1121
1843	1406	1511	1714	1304	1505
1683	1818	812	1772	1490	490
1124	806	1104	1153	1432	1469
699	1458	669	571	720	773
1557	1219	263	1784	256	250
1026	1159	350	1016	1728	1739
985	376	1087	278	1921	1036
1113	1399	1169	1092	635	1280
1576	103	342	1758	133	1115
359	1243	971	911	1856	1711
909	932	1681	1296	572	87
85	1987	1300	1575	1535	136
222	1109	1807	1344	660	126
609	1539	1853	1924	1134	82
1685	1989	419	1768	1952	946
741	1489	1686	1398	1636	1452
1142	1250	622	1613	1446	986
532	1738	968	1925	967	473
1261	1359	735	222	1875	1820
416	1319	1408	1431	1059	1913
1041	315	389	772	191	1229
235	838	1227	181	106	917
386	241	1288	1683	664	375
537	1399	1231	1149	165	1850
835	827	1184	700	430	172
1355	1810	1852	20	792	244
136	1464	1593	1801	333	332
107	159	1074	570	733	1525
479	185	1482	1792	331	287
1486	279	1667	344	75	1072
145	491	963	1099	1938	1560
97	1028	1106	157	1955	225
1227	1961	103	662	1541	1055
734	1114	1164	1939	128	1563
163	257	1390	1730	1100	295
1583	1731	1809	1211	147	1089
766	246	641	1847	1526	556
1401	528	1558	777	1535	1899
678	571	440	414	35	1126
1421	1206	88	1188	1208	805
949	348	1984	1378	1800	1591
204	664	518	255	955	1706
